
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:F8:CC:C0:CE:F0, 2026-04-07 21:46:55, 2026-04-07 21:48:54,  1, 195, WPA3 WPA2, CCMP, SAE PSK, -64,      100,        7,   0.  0.  0.  0,   7, shalom1, 
00:F8:CC:C0:CE:F3, 2026-04-07 21:46:55, 2026-04-07 21:48:52,  1, 195, WPA3 WPA2, CCMP GCMP, SAE, -64,       85,       13,   0.  0.  0.  0,   0, , 
00:F8:CC:C0:55:83, 2026-04-07 21:46:55, 2026-04-07 21:48:30,  1, 195, WPA3 WPA2, CCMP GCMP, SAE, -64,       27,        3,   0.  0.  0.  0,   0, , 
00:F8:CC:C0:55:80, 2026-04-07 21:46:55, 2026-04-07 21:48:30,  1, 195, WPA3 WPA2, CCMP, SAE PSK, -66,       19,        4,   0.  0.  0.  0,   7, Ren1993, 
92:D8:E5:B0:0B:60, 2026-04-07 21:46:55, 2026-04-07 21:48:54,  6, 540, WPA3 WPA2, CCMP, SAE, -43,      340,       52,   0.  0.  0.  0,   0, , 
DA:D8:E5:B0:0B:6F, 2026-04-07 21:46:55, 2026-04-07 21:48:54,  6, 540, WPA3 WPA2, CCMP, SAE PSK, -43,      327,       59,   0.  0.  0.  0,   5, kevin, 
AA:D8:E5:94:F8:0A, 2026-04-07 21:46:55, 2026-04-07 21:48:54,  6, 360, WPA3 WPA2, CCMP, SAE PSK, -60,      268,       44,   0.  0.  0.  0,   5, kevin, 
AA:D8:E5:94:F8:0B, 2026-04-07 21:46:55, 2026-04-07 21:48:54,  6, 360, WPA3 WPA2, CCMP, SAE, -61,      261,       37,   0.  0.  0.  0,   0, , 
58:2F:F7:09:11:06, 2026-04-07 21:46:58, 2026-04-07 21:48:55, 11, 195, WPA2 WPA, CCMP TKIP, PSK, -57,      133,       21,   0.  0.  0.  0,  13, Fiber 4K-1100, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
48:E7:29:62:13:11, 2026-04-07 21:46:56, 2026-04-07 21:48:54, -60,      219, (not associated) ,moduletest
FA:84:7E:6D:D6:C9, 2026-04-07 21:46:57, 2026-04-07 21:48:07,  -1,      344, AA:D8:E5:94:F8:0A,
94:F8:27:7E:D5:BA, 2026-04-07 21:46:58, 2026-04-07 21:48:54,  -1,        3, 58:2F:F7:09:11:06,
F6:44:8A:76:7C:27, 2026-04-07 21:46:59, 2026-04-07 21:46:59, -70,        1, (not associated) ,
50:DA:D6:A6:AB:A5, 2026-04-07 21:47:02, 2026-04-07 21:47:02,  -1,        1, 00:F8:CC:C0:CE:F0,
48:E7:29:6C:32:02, 2026-04-07 21:47:03, 2026-04-07 21:48:45, -67,       32, (not associated) ,moduletest
94:F8:27:78:69:BE, 2026-04-07 21:47:04, 2026-04-07 21:48:39, -61,       31, 58:2F:F7:09:11:06,Fiber 4K-1100
44:72:AC:82:40:E9, 2026-04-07 21:47:13, 2026-04-07 21:48:36, -58,        7, DA:D8:E5:B0:0B:6F,
1A:A8:2C:73:31:19, 2026-04-07 21:47:40, 2026-04-07 21:47:40, -71,        1, (not associated) ,
E6:21:7A:33:43:5E, 2026-04-07 21:47:42, 2026-04-07 21:47:42, -68,        3, 00:F8:CC:C0:CE:F0,
88:36:5F:B7:1C:EA, 2026-04-07 21:47:49, 2026-04-07 21:47:49,  -1,        2, 58:2F:F7:09:11:06,
A0:AC:78:C1:C4:FA, 2026-04-07 21:47:57, 2026-04-07 21:47:57, -69,        1, (not associated) ,test_2.4G
D6:89:0E:80:01:79, 2026-04-07 21:48:00, 2026-04-07 21:48:00, -69,        1, (not associated) ,
DE:04:97:BD:F3:19, 2026-04-07 21:48:20, 2026-04-07 21:48:20, -70,        1, (not associated) ,
94:F8:27:7E:AA:D9, 2026-04-07 21:48:47, 2026-04-07 21:48:47,  -1,        1, 58:2F:F7:09:11:06,

